"name","note","x","y"
佐倉城内町,千葉県佐倉市城内町276-5,35.726749,140.218784
八千代工業団地,千葉県八千代市大和田新田593-5,35.736883,140.098062
木更津請西平川,千葉県木更津市請西1801-3,35.368208,139.955346
三里塚,千葉県成田市三里塚御料1-1418,35.74729,140.372984
鴨川バイパス,千葉県鴨川市横渚1667,35.099394,140.093883
成田取香東,千葉県成田市取香596-6,35.784378,140.385076
下総成井,千葉県成田市成井383-2,35.846527,140.377289
成田吉岡,千葉県成田市吉岡1107-1,35.81639,140.398129
成田長沼,千葉県成田市長沼1549-1,35.828687,140.301788
鴨川広場,千葉県鴨川市広場842-3,35.113481,140.112073
大栄ＰＡ上り,千葉県成田市吉岡1072-2,35.812716,140.405634
大栄ＰＡ下り,千葉県成田市吉岡1067-19,35.813446,140.403762
成田野毛平,千葉県成田市野毛平889-1,35.801583,140.351804
成田不動ヶ岡,千葉県成田市不動ケ岡2037-6,35.770502,140.312345
成田十余三,千葉県成田市十余三12-1,35.800258,140.368522
木更津港南台,千葉県木更津市港南台4丁目2-2,35.348339,139.910887
成田はなのき台,千葉県成田市はなのき台1丁目22-11,35.778779,140.284912
成田公津の杜２丁目,千葉県成田市公津の杜2丁目3-3,35.763339,140.300053
飯田町,千葉県成田市飯田町136-3,35.765878,140.30113
香取与田浦,千葉県香取市佐原ハ5001-42,35.924138,140.525778
市原村田川,千葉県市原市八幡北町2丁目7-5,35.545112,140.122927
市原古市場,千葉県市原市古市場322-1,35.544235,140.142332
市原山木,千葉県市原市山木1171-3,35.523062,140.128685
市原潤井戸,千葉県市原市潤井戸2272-5,35.512047,140.165833
八幡宿駅東口,千葉県市原市八幡569-1,35.533672,140.123897
市原辰巳台東１丁目,千葉県市原市辰巳台東1丁目4-2,35.517663,140.154392
館山亀ケ原,千葉県館山市亀ケ原681,35.021121,139.877469
館山湊,千葉県館山市湊429-4,35.01105,139.863946
成田赤坂,千葉県成田市赤坂2丁目1-6,35.776865,140.29055
成田山表参道,千葉県成田市花崎町538,35.779704,140.316784
木更津清見台３丁目,千葉県木更津市清見台3丁目1-23,35.381282,139.94271
長生睦沢,千葉県長生郡睦沢町森85-1,35.35513,140.303716
長南小沢,千葉県長生郡長南町小沢1751-1,35.372775,140.248674
銚子松岸,千葉県銚子市松岸町3丁目310,35.741894,140.793109
銚子松本町,千葉県銚子市松本町3丁目2-28,35.735895,140.816414
袖ケ浦奈良輪,千葉県袖ケ浦市奈良輪1丁目6-16,35.429616,139.956532
袖ヶ浦駅前通り,千葉県袖ケ浦市福王台1丁目27-6,35.428039,139.961623
袖ケ浦駅北口,千葉県袖ケ浦市奈良輪1154,35.433927,139.957596
富津更和,千葉県富津市更和83-2,35.218519,139.889558
富津湊,千葉県富津市湊811-1,35.22381,139.874035
鋸南保田,千葉県安房郡鋸南町元名901,35.146406,139.833161
富里日吉台,千葉県富里市日吉台5丁目1-1,35.764545,140.320928
富里日吉倉,千葉県富里市日吉倉3008-2,35.774144,140.324869
佐原北,千葉県香取市北2丁目14-6,35.899251,140.494574
香取市佐原駅前,千葉県香取市佐原イ74-11,35.894074,140.492908
市原馬立,千葉県市原市馬立343,35.419279,140.119905
市原双葉中前,千葉県市原市光風台1丁目350,35.444905,140.113213
市原原田,千葉県市原市米沢831-11,35.399407,140.161548
君津坂田,千葉県君津市坂田675,35.344492,139.880578
木更津潮見６丁目,千葉県木更津市潮見6丁目3-2,35.362959,139.912389
君津郡,千葉県君津市郡1丁目23-18,35.306501,139.916843
富津大貫,千葉県富津市小久保2876,35.280236,139.854547
富里七栄南,千葉県富里市七栄653-8,35.725335,140.334856
岬中原,千葉県いすみ市岬町中原218,35.325425,140.400543
銚子犬吠埼,千葉県銚子市高神東町9653-1,35.706524,140.859696
